Suburb,Latitude,Longitude
Abbotsbury,-33.8692846,150.8667029
Abbotsford,-33.8505529,151.129759
Acacia Gardens,-33.7324595,150.9125321
Agnes Banks,-33.6145082,150.7114482
Airds,-34.09,150.8261111
Alexandria,-33.9091568,151.1921281
Alfords Point,-33.9839091,151.0241615
Allambie Heights,-33.7705067,151.249675
Allawah,-33.9696293,151.1142847
Ambarvale,-34.0844252,150.8017477
Annandale,-33.881224,151.1709976
Annangrove,-33.6574838,150.9460077
Arcadia,-33.6227289,151.0605602
Arncliffe,-33.938236,151.145508
Arndell Park,-33.79,150.8761111
Artarmon,-33.8094124,151.1857609
Ashbury,-33.9001107,151.1180724
Ashcroft,-33.915,150.9011111
Ashfield,-33.8894781,151.1274125
Asquith,-33.6871935,151.1110257
Auburn,-33.8545702,151.0255673
Austral,-33.9282672,150.8082824
Avalon Beach,-33.6365039,151.3290299
Badgerys Creek,-33.9042169,150.7202822
Balgowlah,-33.7944424,151.2608261
Balgowlah Heights,-33.807495,151.2649923
Balmain,-33.8583992,151.1807353
Balmain East,-33.8571789,151.192354
Bangor,-34.0155034,151.0334872
Banksia,-33.9448646,151.1402066
Banksmeadow,-33.9542459,151.2157073
Bankstown,-33.9171897,151.0335881
Bankstown Aerodrome,-33.9235,150.9901
Barangaroo,-33.8614084,151.2016877
Barden Ridge,-34.0311727,151.0105268
Bardia,-33.9763948,150.8604327
Bardwell Park,-33.9355556,151.1238889
Bardwell Valley,-33.937452,151.1304335
Bass Hill,-33.8986251,150.9974484
Baulkham Hills,-33.7611198,150.9914041
Bayview,-33.6576847,151.2866735
Beacon Hill,-33.751787,151.2600828
Beaconsfield,-33.9114691,151.200315
Beaumont Hills,-33.6997222,150.9405556
Beecroft,-33.7497631,151.0657475
Belfield,-33.9045165,151.0860013
Bella Vista,-33.7416936,150.9547183
Bellevue Hill,-33.8797123,151.2561988
Belmore,-33.9194073,151.0878936
Belrose,-33.730009,151.2191438
Berala,-33.8753943,151.0343253
Berkshire Park,-33.6816667,150.7844444
Berowra,-33.6264261,151.1473881
Berowra Creek,-33.7109343,151.0640894
Berowra Heights,-33.6095775,151.1373221
Berowra Waters,-33.5994177,151.1229517
Berrilee,-33.6127484,151.1055143
Beverley Park,-33.9787995,151.1316285
Beverly Hills,-33.9497444,151.0817342
Bexley,-33.9523543,151.1181427
Bexley North,-33.9425365,151.1152081
Bickley Vale,-34.0789563,150.6617103
Bidwill,-33.7319476,150.823408
Bilgola Beach,-33.6443165,151.324484
Bilgola Plateau,-33.6438092,151.315858
Birchgrove,-33.8507685,151.1830352
Birrong,-33.8918622,151.0201957
Blackett,-33.7372232,150.815
Blacktown,-33.7739882,150.9036186
Blair Athol,-34.0627778,150.7997222
Blairmount,-34.0483333,150.7927778
Blakehurst,-33.9898519,151.1085596
Bligh Park,-33.6383333,150.7980556
Bondi,-33.8930556,151.2633333
Bondi Beach,-33.8906977,151.2724119
Bondi Junction,-33.8930034,151.2501228
Bonnet Bay,-34.0101087,151.053572
Bonnyrigg,-33.8936698,150.888281
Bonnyrigg Heights,-33.8912101,150.8695795
Bossley Park,-33.8622222,150.8844444
Botany,-33.947829,151.1990644
Bow Bowing,-34.0161463,150.8405606
Box Hill,-33.6425,150.8988889
Bradbury,-34.0816667,150.8177778
Breakfast Point,-33.8422769,151.1111054
Brighton-Le-Sands,-33.9580947,151.1526052
Bringelly,-33.9393505,150.7309705
Bronte,-33.9042128,151.2637774
Brooklyn,-33.5469129,151.2265249
Brookvale,-33.7628854,151.2707024
Bundeena,-34.0845443,151.1512348
Bungarribee,-33.7822832,150.86499
Burraneer,-34.0644603,151.1377905
Burwood,-33.8784753,151.104049
Burwood Heights,-33.8894444,151.1038889
Busby,-33.915,150.8844444
Cabarita,-33.8475029,151.1158878
Cabramatta,-33.8983188,150.9344502
Cabramatta West,-33.8916949,150.914639
Caddens,-33.773603,150.7288643
Cambridge Gardens,-33.7377967,150.7205556
Cambridge Park,-33.7501365,150.7269025
Camden,-34.0532323,150.6961705
Camden South,-34.0829554,150.6966472
Camellia,-33.8197799,151.0346488
Cammeray,-33.8222738,151.2139868
Campbelltown,-34.0636914,150.8206159
Camperdown,-33.8896116,151.1800986
Campsie,-33.9143894,151.1032133
Canada Bay,-33.8646692,151.1151554
